County_Name,Region,County,region_county_code,R-C-D-T-S,Facility,Enrollment,Total NC,UndupNCIM,NCPE,Excluded,PolioProtected,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,TdapProt,TdapNcNp,TdapMedObj,TdapRelObj,TdapApprSchd,TdapTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal,Region,County
Union,02,091,02091,02-091-0170-22-1001,Cobden Jr High School,128,0,0,0,0,128,0,0,0,0,128,128,0,0,0,0,128,41,0,0,0,0,41,128,0,0,0,0,128,128,0,0,0,0,128,128,0,0,0,0,128,128,0,0,0,0,128,0,0,0,0,0,0,128,0,0,0,0,128,02,091
Union,02,091,02091,02-091-0170-22-2002,Cobden Elem School,315,3,3,0,3,312,3,0,0,0,315,312,3,0,0,0,315,0,0,0,0,0,0,312,3,0,0,0,315,312,3,0,0,0,315,312,3,0,0,0,315,95,3,0,0,0,98,36,3,0,0,0,39,312,3,0,0,0,315,02,091
Union,02,091,02091,02-091-0370-04-1001,Anna Junior High School,295,0,0,0,0,295,0,0,0,0,295,295,0,0,0,0,295,97,0,0,0,1,98,294,0,0,1,0,295,294,0,0,1,0,295,294,0,0,1,0,295,295,0,0,0,0,295,0,0,0,0,0,0,294,0,0,1,0,295,02,091
Union,02,091,02091,02-091-0370-04-2002,Davie Elem School,161,0,0,0,0,161,0,0,0,0,161,161,0,0,0,0,161,0,0,0,0,0,0,161,0,0,0,0,161,161,0,0,0,0,161,161,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,161,02,091
Union,02,091,02091,02-091-0370-04-2003,Lincoln Elem School,282,1,0,1,0,280,0,0,2,0,282,280,0,0,2,0,282,0,0,0,0,0,0,280,0,0,2,0,282,280,0,0,2,0,282,280,0,0,2,0,282,38,0,0,0,0,38,38,0,0,0,0,38,281,0,0,1,0,282,02,091
Union,02,091,02091,02-091-0430-04-2001,Jonesboro Elem School,428,0,0,0,0,428,0,0,0,0,428,428,0,0,0,0,428,46,0,0,0,0,46,428,0,0,0,0,428,428,0,0,0,0,428,428,0,0,0,0,428,204,0,0,0,0,204,38,0,0,0,0,38,428,0,0,0,0,428,02,091
Union,02,091,02091,02-091-0660-22-0001,Dongola High School,76,0,0,0,0,76,0,0,0,0,76,76,0,0,0,0,76,24,0,0,0,0,24,76,0,0,0,0,76,76,0,0,0,0,76,76,0,0,0,0,76,76,0,0,0,0,76,0,0,0,0,0,0,42,0,0,0,0,42,02,091
Union,02,091,02091,02-091-0660-22-1001,Dongola Jr High School,35,0,0,0,0,35,0,0,0,0,35,35,0,0,0,0,35,0,0,0,0,0,0,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,35,0,0,0,0,35,0,0,0,0,0,0,35,0,0,0,0,35,02,091
Union,02,091,02091,02-091-0660-22-2001,Dongola Elementary School,133,2,0,2,0,133,0,0,0,0,133,133,0,0,0,0,133,14,0,0,0,0,14,133,0,0,0,0,133,133,0,0,0,0,133,133,0,0,0,0,133,39,0,0,0,0,39,0,0,0,0,0,0,133,0,0,0,0,133,02,091
Union,02,091,02091,02-091-0840-26-0001,Shawnee High School,126,2,2,0,2,126,0,0,0,0,126,126,0,0,0,0,126,36,2,0,0,0,38,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,0,0,0,0,0,0,64,0,0,0,0,64,02,091
