County_Name,Region,County,region_county_code,Region-County-District-Type-School (RCDTS) ,District,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,region_county_code
Cook_North,05,016,05016,05016078X050000,Nonpublic School,Cheder Lubavitch,300,2,1,0,0.99,60,3,0,1,0,0,60,4,0.9375,05016
Cook_North,05,016,05016,05016100X160000,Nonpublic School,Chiaravalle Montessori School,299,11,0,0,0.963210702341137,114,2,0,0,0,0,114,2,0.9827586206896551,05016
Cook_North,05,016,05016,05016102X060000,Nonpublic School,St Peter Lutheran School,518,0,0,0,1,199,2,1,0,0,0,199,3,0.9851485148514851,05016
Cook_North,05,016,05016,05016106Z200000,Nonpublic School,Logos Christian Academy,225,19,3,0,0.9022222222222223,58,3,0,2,0,1,58,6,0.90625,05016
Cook_North,05,016,05016,05016115X160000,Nonpublic School,Skokie Montessori School,56,0,0,0,1,30,0,0,0,0,0,30,0,1,05016
Cook_North,05,016,05016,05016130X010000,Nonpublic School,Barbereux School,57,0,0,0,1,51,0,0,0,0,0,51,0,1,05016
Cook_North,05,016,05016,05016146X060000,Nonpublic School,St Paul Lutheran School,248,0,0,0,1,64,1,0,0,0,0,64,1,0.9846153846153847,05016
Cook_North,05,016,05016,05016148X160000,Nonpublic School,Buffalo Grove Montessori,119,8,1,0,0.9243697478991597,95,0,0,0,0,2,95,2,0.979381443298969,05016
Cook_North,05,016,05016,05016154X060000,Nonpublic School,Immanuel Lutheran School,328,0,0,0,1,94,2,0,0,0,0,94,2,0.9791666666666666,05016
Cook_North,05,016,05016,05016156X060000,Nonpublic School,St Andrews Lutheran School,177,1,1,0,0.9887005649717514,61,0,1,0,0,1,61,2,0.9682539682539683,05016
Cook_North,05,016,05016,05016160X060000,Nonpublic School,St Peter Lutheran School,316,24,0,0,0.9240506329113924,105,1,0,0,0,6,105,7,0.9375,05016
Cook_North,05,016,05016,05016171Z140000,Nonpublic School,Christian Liberty Academy,634,25,21,0,0.9274447949526814,145,4,1,1,0,13,145,19,0.8841463414634146,05016
Cook_North,05,016,05016,050162070170001,Maine Township HSD 207,Maine East High School,1943,0,6,6,0.9969119917653114,12,0,0,0,0,0,12,0,1,05016
Cook_North,05,016,05016,050162070170004,Maine Township HSD 207,Maine West High School,2102,2,3,1,0.9976213130352046,12,0,0,0,0,1,12,1,0.9230769230769231,05016
Cook_North,05,016,05016,05016212X050000,Nonpublic School,Arie Crown Hebrew Day School,701,6,0,0,0.9914407988587732,71,0,0,0,0,0,71,0,1,05016
Cook_North,05,016,05016,05016213X160000,Nonpublic School,Childrens Lrning Path Montessori,29,0,0,0,1,23,0,0,0,0,0,23,0,1,05016
Cook_North,05,016,05016,05016218X050000,Nonpublic School,N Suburban Day Sch,411,11,0,0,0.9732360097323601,60,0,0,0,0,0,60,0,1,05016
Cook_North,05,016,05016,05016222X170000,Nonpublic School,Plato Academy,61,0,0,0,1,22,2,0,0,0,0,22,2,0.9166666666666666,05016
Cook_North,05,016,05016,05016244X160000,Nonpublic School,Childrens Learning World,62,3,0,0,0.9516129032258064,47,0,0,0,0,0,47,0,1,05016
Cook_North,05,016,05016,05016246X250000,Nonpublic School,Faith Christian Academy,9,0,0,0,1,4,0,0,1,0,0,4,1,0.8,05016
Cook_North,05,016,05016,05016269P003101,Early Childhood,Child Care Center of Evanston,34,1,0,0,0.9705882352941178,34,0,0,0,0,0,34,0,1,05016
Cook_North,05,016,05016,05016269P003105,Early Childhood,Reba Place Day Nursery,10,0,0,0,1,10,0,0,0,0,0,10,0,1,05016
Cook_North,05,016,05016,05016269P003111,Early Childhood,Baby Toddler Nursery IWSE,10,0,0,0,1,10,0,0,0,0,0,10,0,1,05016
Cook_North,05,016,05016,05016269P003112,Early Childhood,Toddler Town,20,0,0,0,1,20,0,0,0,0,0,20,0,1,05016
Cook_North,05,016,05016,05016275X010000,Nonpublic School,Science Academy of Chicago,211,34,0,34,0.8388625592417062,27,0,0,0,0,0,27,0,1,05016
